file_name,best_fitness,best_fitnesss_mean,best_fitness_std,best_fitness_times_mean,best_fitness_times_std,summed_fitness_mean,summed_fitness_std,cells_filled_mean,cells_filled_std
exp01_stats,91.46334166,51.51524756,11.96915008,57138.3,28499.30347,1,0,-1,0
exp02_stats,86.08339408,63.45341844,8.241009198,240611.0952,121570.0017,1,0,-1,0
exp03_stats,77.628444,59.24351854,6.442639388,241196.8571,114930.6961,1,0,-1,0
exp04_stats,65.18348257,48.73292911,7.444481741,46868.9,29209.39695,1,0,-1,0
exp05_stats,71.40372409,49.20203825,11.99437593,45000.15,27429.96753,1,0,-1,0
exp06_stats,66.25008649,49.75493669,7.066743556,43737.3,31012.39271,-44.24579697,6.308156329,102.1,1.972308292
exp07_stats,99.55643635,53.23747678,14.35815571,51029.75,30625.25148,-55.40852285,0.30793154,2500,0
exp08_stats,60.49462846,48.27348606,9.033402467,46982.5,27123.00525,-128.5394446,1.964900888,113.3,1.307669683
exp09_stats,59.89168833,47.15049985,7.131980527,55977.55,26084.92413,-26.32114392,7.761392861,38,1.140175425
exp10_stats,47.45666709,23.19168096,13.79335845,41182.45,27416.87626,-101.3987144,7.529405645,73.85,2.414021541
exp12_stats,25.64362731,-20.33676234,21.53358374,42328.9,21610.56522,-159.5529596,5.636573441,72.05,4.27170926
exp13_stats,59.6693206,21.0548608,20.6718559,58413.4,26087.96567,-59.48495122,6.017598601,30.15,1.351850583
exp14_stats,67.45711554,50.31997383,7.14398085,56615.35,31429.78386,-25.38817749,4.774992007,36.7,1.268857754
exp15_stats,59.89168833,47.15049985,7.131980527,54394.3,26198.89281,-26.32114392,7.761392861,38,1.140175425
